transaction id,room id,customer name,amount,time of transaction,description
5,cedar-lodge-007,Liam,181.25,2026-01-09T15:02:00Z,utilities
6,cedar-lodge-007,Liam,127.47,2026-01-09T18:21:00Z,cleaning supplies
7,cedar-lodge-007,Nina,54.20,2026-01-09T23:20:00Z,parking
8,cedar-lodge-007,Priya,157.69,2026-01-10T03:53:00Z,snacks
9,cedar-lodge-007,Priya,170.89,2026-01-10T06:01:00Z,utilities
0,orchard-flat-008,Avery,32.14,2026-01-09T16:36:00Z,board games
1,orchard-flat-008,George,81.32,2026-01-09T21:23:00Z,movie tickets
2,orchard-flat-008,Priya,13.70,2026-01-09T22:13:00Z,laundry
3,orchard-flat-008,Daniel,45.44,2026-01-09T23:30:00Z,coffee
4,orchard-flat-008,Pedro,17.66,2026-01-10T03:41:00Z,ice cream
5,orchard-flat-008,George,83.07,2026-01-10T04:04:00Z,parking
0,riverview-den-009,Fatima,68.57,2026-01-10T16:48:00Z,beach gear
1,riverview-den-009,Marcus,184.02,2026-01-10T19:27:00Z,groceries
2,riverview-den-009,Daniel,24.30,2026-01-11T00:54:00Z,laundry
3,riverview-den-009,Amina,163.43,2026-01-11T02:55:00Z,museum entry
4,riverview-den-009,Priya,152.69,2026-01-11T05:37:00Z,groceries
0,golden-hall-010,Elena,116.37,2026-01-11T17:26:00Z,beach gear
1,golden-hall-010,Daniel,120.37,2026-01-11T23:16:00Z,ice cream
2,golden-hall-010,Julian,30.81,2026-01-12T03:22:00Z,groceries
3,golden-hall-010,Daniel,37.23,2026-01-12T08:06:00Z,gas
4,golden-hall-010,Isaac,37.20,2026-01-12T12:12:00Z,utilities
5,golden-hall-010,Noah,165.02,2026-01-12T13:36:00Z,coffee
6,golden-hall-010,Noah,76.84,2026-01-12T17:25:00Z,utilities
7,golden-hall-010,Maya,61.14,2026-01-12T19:54:00Z,dinner
0,pine-studio-011,Owen,20.16,2026-01-12T13:43:00Z,movie tickets
1,pine-studio-011,Avery,56.17,2026-01-12T16:49:00Z,coffee
2,pine-studio-011,Maya,128.61,2026-01-12T17:18:00Z,groceries
3,pine-studio-011,Leah,7.17,2026-01-12T19:04:00Z,museum entry
4,pine-studio-011,Daniel,9.03,2026-01-12T19:58:00Z,breakfast
0,willow-nook-012,Chloe,83.90,2026-01-13T16:33:00Z,coffee
1,willow-nook-012,Leah,127.25,2026-01-13T21:14:00Z,late-night food
2,willow-nook-012,Maya,65.99,2026-01-14T03:12:00Z,coffee
3,willow-nook-012,Isaac,111.23,2026-01-14T05:00:00Z,pizza
4,willow-nook-012,Owen,20.35,2026-01-14T10:00:00Z,gas
5,willow-nook-012,Noah,153.67,2026-01-14T13:11:00Z,rideshare
6,willow-nook-012,Julian,59.40,2026-01-14T15:17:00Z,movie tickets
7,willow-nook-012,Nina,66.02,2026-01-14T18:49:00Z,board games
8,willow-nook-012,George,131.93,2026-01-14T20:14:00Z,snacks
0,meadow-place-013,Fatima,77.68,2026-01-14T16:34:00Z,board games
1,meadow-place-013,Owen,40.38,2026-01-14T19:44:00Z,cleaning supplies
2,meadow-place-013,Isaac,176.21,2026-01-14T21:06:00Z,cleaning supplies
3,meadow-place-013,Julian,70.45,2026-01-15T02:47:00Z,breakfast
4,meadow-place-013,Pedro,112.37,2026-01-15T03:06:00Z,breakfast
5,meadow-place-013,Leah,46.11,2026-01-15T05:12:00Z,coffee
0,granite-home-014,Priya,135.82,2026-01-15T12:43:00Z,museum entry
1,granite-home-014,Noah,180.66,2026-01-15T17:51:00Z,rideshare
2,granite-home-014,Avery,17.13,2026-01-15T21:44:00Z,board games
3,granite-home-014,Daniel,120.74,2026-01-16T03:31:00Z,house supplies
4,granite-home-014,George,92.57,2026-01-16T03:58:00Z,rideshare
5,granite-home-014,Chloe,36.76,2026-01-16T05:15:00Z,groceries
0,driftwood-bungalow-015,Owen,88.00,2026-01-16T17:07:00Z,beach gear
1,driftwood-bungalow-015,Marcus,144.42,2026-01-16T20:55:00Z,coffee
2,driftwood-bungalow-015,Elena,137.06,2026-01-16T22:55:00Z,board games
3,driftwood-bungalow-015,Liam,101.11,2026-01-17T01:38:00Z,dinner
4,driftwood-bungalow-015,Avery,127.38,2026-01-17T04:02:00Z,movie tickets
5,driftwood-bungalow-015,Liam,15.78,2026-01-17T05:03:00Z,parking
6,driftwood-bungalow-015,Liam,13.40,2026-01-17T05:45:00Z,movie tickets
0,oak-commons-016,Owen,112.08,2026-01-17T14:42:00Z,breakfast
1,oak-commons-016,Amina,101.26,2026-01-17T19:41:00Z,late-night food
2,oak-commons-016,Chloe,41.48,2026-01-17T23:04:00Z,rideshare
3,oak-commons-016,Avery,103.36,2026-01-18T02:39:00Z,coffee
4,oak-commons-016,Owen,54.58,2026-01-18T04:20:00Z,snacks
5,oak-commons-016,Noah,21.90,2026-01-18T07:34:00Z,late-night food
6,oak-commons-016,Maya,69.79,2026-01-18T08:45:00Z,movie tickets
7,oak-commons-016,Priya,55.73,2026-01-18T10:59:00Z,dinner
0,lighthouse-room-017,Chloe,47.21,2026-01-18T16:30:00Z,coffee
1,lighthouse-room-017,Avery,115.18,2026-01-18T21:56:00Z,utilities
2,lighthouse-room-017,Pedro,131.89,2026-01-19T01:26:00Z,utilities
3,lighthouse-room-017,Chloe,164.12,2026-01-19T03:52:00Z,coffee
4,lighthouse-room-017,Maya,45.30,2026-01-19T07:13:00Z,brunch
0,redwood-haven-018,Noah,149.39,2026-01-19T16:47:00Z,gas
1,redwood-haven-018,Pedro,111.03,2026-01-19T19:09:00Z,ice cream
2,redwood-haven-018,Chloe,88.85,2026-01-20T00:44:00Z,utilities
3,redwood-haven-018,Julian,10.59,2026-01-20T02:15:00Z,breakfast
4,redwood-haven-018,Owen,37.71,2026-01-20T06:40:00Z,utilities
5,redwood-haven-018,Owen,110.39,2026-01-20T12:04:00Z,ice cream
6,redwood-haven-018,Fatima,106.56,2026-01-20T17:13:00Z,movie tickets
7,redwood-haven-018,Owen,117.71,2026-01-20T22:18:00Z,ice cream
0,summit-base-019,Sofia,54.76,2026-01-20T17:56:00Z,parking
1,summit-base-019,Owen,10.03,2026-01-20T22:44:00Z,beach gear
2,summit-base-019,Fatima,9.39,2026-01-21T04:10:00Z,parking
3,summit-base-019,Julian,77.29,2026-01-21T07:04:00Z,house supplies
4,summit-base-019,Liam,23.63,2026-01-21T13:03:00Z,pizza
5,summit-base-019,Maya,81.17,2026-01-21T15:37:00Z,breakfast
6,summit-base-019,Nina,92.42,2026-01-21T17:46:00Z,late-night food
0,garden-terrace-020,Julian,164.21,2026-01-21T14:57:00Z,late-night food
1,garden-terrace-020,Isaac,46.02,2026-01-21T19:27:00Z,rideshare
2,garden-terrace-020,Amina,120.39,2026-01-21T21:35:00Z,board games
3,garden-terrace-020,Leah,168.90,2026-01-22T00:14:00Z,breakfast
4,garden-terrace-020,Chloe,37.77,2026-01-22T02:56:00Z,groceries
5,garden-terrace-020,Noah,60.50,2026-01-22T05:40:00Z,ice cream
6,garden-terrace-020,Maya,44.11,2026-01-22T08:23:00Z,rideshare
7,garden-terrace-020,Sofia,17.14,2026-01-22T09:58:00Z,brunch
0,northstar-hub-021,Priya,74.17,2026-01-22T16:35:00Z,breakfast
1,northstar-hub-021,Liam,15.49,2026-01-22T17:21:00Z,breakfast
2,northstar-hub-021,Marcus,145.37,2026-01-22T19:32:00Z,pizza
3,northstar-hub-021,Zoe,63.05,2026-01-22T23:55:00Z,brunch
4,northstar-hub-021,Avery,147.60,2026-01-23T04:53:00Z,ice cream
5,northstar-hub-021,Liam,31.32,2026-01-23T06:17:00Z,coffee
6,northstar-hub-021,Nina,140.25,2026-01-23T12:13:00Z,movie tickets
0,coral-court-022,Sofia,89.28,2026-01-23T16:41:00Z,board games
1,coral-court-022,Owen,37.94,2026-01-23T17:19:00Z,coffee
2,coral-court-022,Chloe,167.64,2026-01-23T19:25:00Z,cleaning supplies
3,coral-court-022,Daniel,104.45,2026-01-23T21:40:00Z,utilities
4,coral-court-022,George,87.12,2026-01-23T22:56:00Z,dinner
5,coral-court-022,Amina,76.04,2026-01-24T04:28:00Z,late-night food
6,coral-court-022,Zoe,16.92,2026-01-24T08:44:00Z,gas
7,coral-court-022,Daniel,143.59,2026-01-24T12:56:00Z,museum entry
8,coral-court-022,Daniel,105.87,2026-01-24T18:32:00Z,utilities
0,silver-springs-023,Fatima,24.66,2026-01-24T16:10:00Z,ice cream
1,silver-springs-023,Priya,67.21,2026-01-24T18:19:00Z,laundry
2,silver-springs-023,Priya,43.97,2026-01-24T18:58:00Z,breakfast
3,silver-springs-023,Chloe,109.72,2026-01-24T20:37:00Z,pizza
4,silver-springs-023,Priya,82.90,2026-01-24T21:56:00Z,gas
5,silver-springs-023,Isaac,56.60,2026-01-25T00:24:00Z,breakfast
0,elm-grove-024,Maya,75.99,2026-01-25T14:29:00Z,rideshare
1,elm-grove-024,Julian,31.50,2026-01-25T17:37:00Z,dinner
2,elm-grove-024,Leah,28.42,2026-01-25T22:01:00Z,laundry
3,elm-grove-024,Amina,81.71,2026-01-25T22:20:00Z,dinner
4,elm-grove-024,Priya,174.13,2026-01-25T22:49:00Z,snacks
5,elm-grove-024,Liam,47.75,2026-01-26T01:16:00Z,groceries
6,elm-grove-024,Noah,47.56,2026-01-26T04:05:00Z,parking
0,moonstone-manor-025,Liam,56.83,2026-01-26T13:40:00Z,snacks
1,moonstone-manor-025,Isaac,7.51,2026-01-26T14:36:00Z,dinner
2,moonstone-manor-025,George,157.57,2026-01-26T16:49:00Z,gas
3,moonstone-manor-025,Priya,58.86,2026-01-26T21:59:00Z,snacks
4,moonstone-manor-025,Daniel,8.99,2026-01-27T02:08:00Z,groceries
5,moonstone-manor-025,Fatima,124.67,2026-01-27T05:44:00Z,breakfast
0,birch-bungalow-026,Leah,71.33,2026-01-27T14:14:00Z,gas
1,birch-bungalow-026,Fatima,42.13,2026-01-27T17:43:00Z,beach gear
2,birch-bungalow-026,Leah,126.06,2026-01-27T19:22:00Z,utilities
3,birch-bungalow-026,Maya,108.85,2026-01-28T00:19:00Z,rideshare
4,birch-bungalow-026,George,140.76,2026-01-28T00:41:00Z,board games
5,birch-bungalow-026,Daniel,158.47,2026-01-28T05:50:00Z,coffee
6,birch-bungalow-026,Liam,17.83,2026-01-28T07:59:00Z,pizza
7,birch-bungalow-026,Nina,149.95,2026-01-28T10:15:00Z,gas
8,birch-bungalow-026,Julian,130.76,2026-01-28T11:10:00Z,rideshare
9,birch-bungalow-026,Zoe,169.70,2026-01-28T16:27:00Z,board games
0,skylight-flat-027,Amina,93.38,2026-01-28T15:06:00Z,cleaning supplies
1,skylight-flat-027,Zoe,41.14,2026-01-28T20:45:00Z,ice cream
2,skylight-flat-027,Fatima,125.51,2026-01-28T21:11:00Z,gas
3,skylight-flat-027,Liam,114.98,2026-01-29T00:38:00Z,rideshare
4,skylight-flat-027,Sofia,129.51,2026-01-29T02:35:00Z,pizza
5,skylight-flat-027,Fatima,120.94,2026-01-29T04:55:00Z,house supplies
6,skylight-flat-027,Pedro,184.50,2026-01-29T07:28:00Z,beach gear
7,skylight-flat-027,Avery,160.72,2026-01-29T08:53:00Z,brunch
8,skylight-flat-027,Noah,172.97,2026-01-29T14:46:00Z,groceries
0,seabreeze-lodge-028,Marcus,139.53,2026-01-29T17:20:00Z,ice cream
1,seabreeze-lodge-028,Julian,104.11,2026-01-29T23:10:00Z,laundry
2,seabreeze-lodge-028,Zoe,37.77,2026-01-30T04:15:00Z,pizza
3,seabreeze-lodge-028,Priya,170.58,2026-01-30T07:57:00Z,board games
4,seabreeze-lodge-028,Avery,158.84,2026-01-30T13:14:00Z,board games
5,seabreeze-lodge-028,Isaac,44.28,2026-01-30T14:23:00Z,movie tickets
6,seabreeze-lodge-028,Avery,13.55,2026-01-30T16:03:00Z,museum entry
7,seabreeze-lodge-028,Chloe,145.60,2026-01-30T21:23:00Z,movie tickets
8,seabreeze-lodge-028,Fatima,91.67,2026-01-31T03:04:00Z,movie tickets
0,terracotta-home-029,Amina,97.04,2026-01-30T17:39:00Z,gas
1,terracotta-home-029,Liam,116.13,2026-01-30T19:01:00Z,house supplies
2,terracotta-home-029,Elena,128.52,2026-01-30T23:07:00Z,board games
3,terracotta-home-029,Owen,11.32,2026-01-31T01:53:00Z,cleaning supplies
4,terracotta-home-029,Chloe,9.72,2026-01-31T06:27:00Z,dinner
0,misty-harbor-030,Priya,111.07,2026-01-31T16:01:00Z,rideshare
1,misty-harbor-030,Zoe,109.93,2026-01-31T21:56:00Z,house supplies
2,misty-harbor-030,Owen,175.91,2026-01-31T22:25:00Z,museum entry
3,misty-harbor-030,Elena,177.47,2026-02-01T00:48:00Z,cleaning supplies
4,misty-harbor-030,Zoe,115.45,2026-02-01T05:28:00Z,cleaning supplies
5,misty-harbor-030,Julian,148.19,2026-02-01T08:17:00Z,utilities
0,alpine-retreat-031,Owen,10.74,2026-02-01T17:31:00Z,snacks
1,alpine-retreat-031,Sofia,153.84,2026-02-01T22:24:00Z,parking
2,alpine-retreat-031,Elena,66.89,2026-02-01T23:46:00Z,groceries
3,alpine-retreat-031,Isaac,153.20,2026-02-02T02:28:00Z,gas
4,alpine-retreat-031,Nina,45.60,2026-02-02T07:28:00Z,coffee
0,sunset-loft-032,Julian,34.44,2026-02-02T17:49:00Z,brunch
1,sunset-loft-032,Daniel,149.23,2026-02-02T20:59:00Z,laundry
2,sunset-loft-032,Pedro,125.77,2026-02-03T02:26:00Z,movie tickets
3,sunset-loft-032,Marcus,163.83,2026-02-03T02:59:00Z,movie tickets
4,sunset-loft-032,Julian,123.42,2026-02-03T07:10:00Z,pizza
5,sunset-loft-032,Chloe,22.48,2026-02-03T10:18:00Z,beach gear
6,sunset-loft-032,Noah,118.96,2026-02-03T15:06:00Z,rideshare
7,sunset-loft-032,Isaac,151.48,2026-02-03T19:22:00Z,dinner
0,maple-house-033,Liam,15.03,2026-02-03T17:48:00Z,board games
1,maple-house-033,Liam,145.11,2026-02-03T18:52:00Z,late-night food
2,maple-house-033,George,168.12,2026-02-03T20:48:00Z,laundry
3,maple-house-033,Maya,35.23,2026-02-03T21:55:00Z,house supplies
4,maple-house-033,Priya,132.31,2026-02-03T22:29:00Z,rideshare
5,maple-house-033,Zoe,72.48,2026-02-03T23:53:00Z,dinner
6,maple-house-033,George,32.70,2026-02-04T05:11:00Z,house supplies
0,bluebird-suite-034,Chloe,57.25,2026-02-04T13:49:00Z,late-night food
1,bluebird-suite-034,Leah,143.32,2026-02-04T18:11:00Z,utilities
2,bluebird-suite-034,Liam,81.64,2026-02-04T20:10:00Z,dinner
3,bluebird-suite-034,Priya,135.00,2026-02-05T01:06:00Z,rideshare
4,bluebird-suite-034,Marcus,29.75,2026-02-05T03:42:00Z,pizza
5,bluebird-suite-034,Nina,106.99,2026-02-05T08:04:00Z,pizza
6,bluebird-suite-034,Avery,64.01,2026-02-05T12:36:00Z,groceries
0,harbor-view-035,Daniel,43.65,2026-02-05T13:16:00Z,gas
1,harbor-view-035,Zoe,52.39,2026-02-05T13:36:00Z,snacks
2,harbor-view-035,Fatima,137.73,2026-02-05T14:29:00Z,gas
3,harbor-view-035,Maya,134.01,2026-02-05T19:47:00Z,groceries
4,harbor-view-035,George,103.76,2026-02-06T00:04:00Z,snacks
5,harbor-view-035,Liam,54.68,2026-02-06T03:35:00Z,breakfast
0,canyon-cabin-036,Daniel,131.29,2026-02-06T13:34:00Z,late-night food
1,canyon-cabin-036,Fatima,104.89,2026-02-06T18:58:00Z,house supplies
2,canyon-cabin-036,George,4.77,2026-02-06T21:31:00Z,snacks
3,canyon-cabin-036,Marcus,135.28,2026-02-06T23:56:00Z,cleaning supplies
4,canyon-cabin-036,Julian,14.97,2026-02-07T03:00:00Z,snacks
5,canyon-cabin-036,Zoe,150.48,2026-02-07T07:04:00Z,ice cream
0,cedar-lodge-037,Chloe,117.93,2026-02-07T15:55:00Z,beach gear
1,cedar-lodge-037,Julian,97.04,2026-02-07T16:28:00Z,groceries
2,cedar-lodge-037,Daniel,160.05,2026-02-07T19:18:00Z,house supplies
3,cedar-lodge-037,Sofia,67.27,2026-02-07T22:44:00Z,snacks
4,cedar-lodge-037,Liam,140.05,2026-02-08T02:21:00Z,movie tickets
5,cedar-lodge-037,Elena,161.17,2026-02-08T07:05:00Z,gas
6,cedar-lodge-037,Amina,152.06,2026-02-08T11:38:00Z,beach gear
7,cedar-lodge-037,Chloe,71.06,2026-02-08T14:52:00Z,utilities
8,cedar-lodge-037,Marcus,128.63,2026-02-08T19:57:00Z,utilities
0,orchard-flat-038,Maya,116.67,2026-02-08T17:02:00Z,late-night food
1,orchard-flat-038,Zoe,170.04,2026-02-08T18:25:00Z,dinner
2,orchard-flat-038,Sofia,100.89,2026-02-08T19:05:00Z,dinner
3,orchard-flat-038,Leah,143.24,2026-02-08T19:25:00Z,groceries
4,orchard-flat-038,Leah,118.01,2026-02-08T20:32:00Z,movie tickets
5,orchard-flat-038,Pedro,166.10,2026-02-08T23:44:00Z,utilities
6,orchard-flat-038,Elena,27.68,2026-02-09T05:16:00Z,brunch
0,riverview-den-039,Leah,73.24,2026-02-09T15:38:00Z,rideshare
1,riverview-den-039,Pedro,104.54,2026-02-09T19:07:00Z,laundry
2,riverview-den-039,Daniel,76.07,2026-02-09T21:32:00Z,house supplies
3,riverview-den-039,George,26.69,2026-02-10T02:07:00Z,snacks
4,riverview-den-039,Noah,151.36,2026-02-10T04:17:00Z,movie tickets
5,riverview-den-039,Avery,43.27,2026-02-10T08:30:00Z,cleaning supplies
6,riverview-den-039,Elena,69.50,2026-02-10T11:25:00Z,rideshare
7,riverview-den-039,Owen,85.17,2026-02-10T12:30:00Z,ice cream
0,golden-hall-040,Marcus,68.67,2026-02-10T15:35:00Z,pizza
1,golden-hall-040,Liam,9.21,2026-02-10T17:55:00Z,gas
2,golden-hall-040,Owen,65.67,2026-02-10T19:49:00Z,utilities
3,golden-hall-040,Sofia,109.24,2026-02-10T23:00:00Z,dinner
4,golden-hall-040,Owen,56.40,2026-02-11T00:26:00Z,movie tickets
5,golden-hall-040,Daniel,64.84,2026-02-11T03:42:00Z,ice cream
6,golden-hall-040,Zoe,57.70,2026-02-11T07:38:00Z,laundry
0,pine-studio-041,Maya,142.50,2026-02-11T15:42:00Z,ice cream
1,pine-studio-041,Zoe,133.23,2026-02-11T20:24:00Z,gas
2,pine-studio-041,Owen,85.93,2026-02-12T00:02:00Z,breakfast
3,pine-studio-041,Nina,151.97,2026-02-12T00:21:00Z,coffee
4,pine-studio-041,Chloe,96.38,2026-02-12T03:13:00Z,dinner
5,pine-studio-041,Isaac,120.06,2026-02-12T04:48:00Z,cleaning supplies
6,pine-studio-041,Isaac,79.35,2026-02-12T06:44:00Z,coffee
7,pine-studio-041,Isaac,110.86,2026-02-12T11:04:00Z,laundry
8,pine-studio-041,Chloe,94.67,2026-02-12T15:29:00Z,pizza
0,willow-nook-042,Nina,105.65,2026-02-12T15:17:00Z,movie tickets
1,willow-nook-042,Leah,42.64,2026-02-12T19:53:00Z,snacks
2,willow-nook-042,Julian,15.19,2026-02-12T21:01:00Z,groceries
3,willow-nook-042,Isaac,48.87,2026-02-13T02:20:00Z,movie tickets
4,willow-nook-042,Owen,151.77,2026-02-13T04:39:00Z,laundry
0,meadow-place-043,Liam,172.02,2026-02-13T14:35:00Z,beach gear
1,meadow-place-043,Priya,100.72,2026-02-13T17:59:00Z,coffee
2,meadow-place-043,Owen,51.78,2026-02-13T21:25:00Z,board games
3,meadow-place-043,George,184.13,2026-02-13T22:50:00Z,pizza
4,meadow-place-043,Sofia,101.97,2026-02-14T02:24:00Z,board games
5,meadow-place-043,Leah,171.01,2026-02-14T05:15:00Z,parking
6,meadow-place-043,Chloe,180.79,2026-02-14T09:44:00Z,snacks
7,meadow-place-043,Pedro,173.33,2026-02-14T10:44:00Z,utilities
8,meadow-place-043,Julian,117.54,2026-02-14T11:10:00Z,house supplies
9,meadow-place-043,Julian,35.77,2026-02-14T13:18:00Z,late-night food
0,granite-home-044,Liam,123.28,2026-02-14T12:52:00Z,snacks
1,granite-home-044,Nina,103.10,2026-02-14T17:20:00Z,groceries
2,granite-home-044,Chloe,5.77,2026-02-14T18:40:00Z,movie tickets
3,granite-home-044,Chloe,47.59,2026-02-14T20:33:00Z,cleaning supplies
4,granite-home-044,Daniel,96.97,2026-02-14T23:05:00Z,brunch
0,driftwood-bungalow-045,George,71.62,2026-02-15T12:30:00Z,house supplies
1,driftwood-bungalow-045,Fatima,20.35,2026-02-15T17:31:00Z,coffee
2,driftwood-bungalow-045,Noah,174.47,2026-02-15T22:46:00Z,coffee
3,driftwood-bungalow-045,Priya,8.72,2026-02-15T23:17:00Z,cleaning supplies
4,driftwood-bungalow-045,Isaac,10.36,2026-02-16T01:13:00Z,movie tickets
5,driftwood-bungalow-045,Leah,170.14,2026-02-16T06:09:00Z,breakfast
6,driftwood-bungalow-045,Daniel,67.00,2026-02-16T07:16:00Z,coffee
7,driftwood-bungalow-045,Owen,33.30,2026-02-16T13:16:00Z,groceries
8,driftwood-bungalow-045,Liam,32.29,2026-02-16T17:40:00Z,breakfast
9,driftwood-bungalow-045,Elena,176.80,2026-02-16T22:50:00Z,snacks
0,oak-commons-046,George,155.17,2026-02-16T17:34:00Z,utilities
1,oak-commons-046,Isaac,120.43,2026-02-16T19:48:00Z,cleaning supplies
2,oak-commons-046,Chloe,88.42,2026-02-16T21:00:00Z,house supplies
3,oak-commons-046,Leah,60.62,2026-02-16T22:54:00Z,breakfast
4,oak-commons-046,Pedro,52.66,2026-02-17T02:23:00Z,house supplies
5,oak-commons-046,Avery,127.84,2026-02-17T04:22:00Z,movie tickets
6,oak-commons-046,Chloe,63.43,2026-02-17T06:42:00Z,parking
0,lighthouse-room-047,Noah,168.59,2026-02-17T15:53:00Z,house supplies
1,lighthouse-room-047,Zoe,30.25,2026-02-17T16:16:00Z,groceries
2,lighthouse-room-047,Sofia,64.84,2026-02-17T20:46:00Z,snacks
3,lighthouse-room-047,Pedro,30.24,2026-02-17T23:12:00Z,breakfast
4,lighthouse-room-047,Daniel,170.80,2026-02-18T02:59:00Z,breakfast
5,lighthouse-room-047,Zoe,176.50,2026-02-18T05:40:00Z,dinner
6,lighthouse-room-047,Fatima,143.99,2026-02-18T06:32:00Z,parking
7,lighthouse-room-047,Priya,143.12,2026-02-18T08:45:00Z,pizza
8,lighthouse-room-047,Maya,84.49,2026-02-18T11:28:00Z,house supplies
9,lighthouse-room-047,Leah,157.34,2026-02-18T17:12:00Z,late-night food
0,redwood-haven-048,Leah,120.00,2026-02-18T14:07:00Z,dinner
1,redwood-haven-048,Elena,160.76,2026-02-18T20:04:00Z,parking
2,redwood-haven-048,Nina,118.91,2026-02-18T21:45:00Z,parking
3,redwood-haven-048,Marcus,55.20,2026-02-19T00:08:00Z,utilities
4,redwood-haven-048,Avery,60.73,2026-02-19T03:33:00Z,dinner
5,redwood-haven-048,Maya,114.02,2026-02-19T05:35:00Z,beach gear
6,redwood-haven-048,Isaac,113.67,2026-02-19T06:02:00Z,dinner
7,redwood-haven-048,Priya,156.15,2026-02-19T09:34:00Z,late-night food
0,summit-base-049,Avery,53.73,2026-02-19T15:33:00Z,ice cream
1,summit-base-049,Avery,119.27,2026-02-19T16:16:00Z,late-night food
2,summit-base-049,Fatima,165.69,2026-02-19T17:59:00Z,rideshare
3,summit-base-049,Julian,48.42,2026-02-19T20:46:00Z,movie tickets
4,summit-base-049,Maya,154.88,2026-02-20T00:17:00Z,rideshare
5,summit-base-049,Maya,145.37,2026-02-20T02:23:00Z,movie tickets
6,summit-base-049,Elena,105.14,2026-02-20T08:07:00Z,late-night food
7,summit-base-049,Julian,121.80,2026-02-20T12:30:00Z,laundry
8,summit-base-049,Daniel,92.00,2026-02-20T15:56:00Z,brunch
9,summit-base-049,Marcus,71.85,2026-02-20T18:30:00Z,groceries
0,garden-terrace-050,Marcus,101.81,2026-02-20T13:52:00Z,board games
1,garden-terrace-050,Daniel,55.95,2026-02-20T16:47:00Z,board games
2,garden-terrace-050,Leah,145.94,2026-02-20T19:49:00Z,groceries
3,garden-terrace-050,Isaac,84.80,2026-02-20T20:11:00Z,beach gear
